name,last,change_price,changePercent,vol,high,low,change_time,change_date
VSOLAR [S],0.02,0,0,"1,698,181",0.025,0.015,0:00:00,06/01/2021
XOX,0.045,-0.005,-10,"1,558,055",0.055,0.045,0:00:00,06/01/2021
MPAY [S],0.24,-0.025,-9.43,"1,483,343",0.255,0.23,0:00:00,06/01/2021
CUSCAPI [S],0.26,-0.015,-5.45,"1,407,388",0.305,0.26,0:00:00,06/01/2021
SERBADK [S],0.64,0.015,2.4,"981,780",0.645,0.62,0:00:00,06/01/2021
PICORP [S],0.2,0.025,14.29,"935,313",0.21,0.18,0:00:00,06/01/2021
DNEX [S],0.855,0.015,1.78,"866,455",0.86,0.83,0:00:00,06/01/2021
FOCUS,0.04,0,0,"842,937",0.045,0.035,0:00:00,06/01/2021
KAB-WA [S],0.125,-0.005,-3.85,"836,532",0.14,0.12,0:00:00,06/01/2021
KANGER [S],0.065,0,0,"697,491",0.07,0.06,0:00:00,06/01/2021
ESAFE [S],0.34,0.035,11.47,"685,831",0.39,0.315,0:00:00,06/01/2021
KNM,0.185,0.02,12.12,"640,876",0.185,0.17,0:00:00,06/01/2021
OLYMPIA,0.135,0.02,17.39,"581,450",0.145,0.115,0:00:00,06/01/2021
SERSOL [S],0.31,-0.02,-6.06,"561,663",0.36,0.31,0:00:00,06/01/2021
YONGTAI [S],0.255,-0.015,-5.55,"512,559",0.27,0.255,0:00:00,06/01/2021
QES [S],0.755,0.055,7.86,"492,251",0.76,0.695,0:00:00,06/01/2021
DPS [S],0.12,-0.005,-4,"487,348",0.13,0.115,0:00:00,06/01/2021
WIDAD [S],0.445,0.005,1.14,"481,151",0.45,0.435,0:00:00,06/01/2021
PRIVA [S],0.215,0.005,2.38,"473,923",0.225,0.205,0:00:00,06/01/2021
MESTRON [S],0.415,0.025,6.41,"459,953",0.42,0.385,0:00:00,06/01/2021
VIVOCOM [S],0.81,0.03,3.85,"458,115",0.825,0.795,0:00:00,06/01/2021
HBGLOB,0.33,0.025,8.2,"457,169",0.33,0.31,0:00:00,06/01/2021
SAUDEE [S],0.17,0.02,13.33,"448,579",0.175,0.14,0:00:00,06/01/2021
SYSTECH [S],0.28,0.025,9.8,"441,427",0.295,0.255,0:00:00,06/01/2021
ZELAN [S],0.135,0,0,"432,561",0.14,0.13,0:00:00,06/01/2021
TANCO [S],0.15,0,0,"426,279",0.15,0.145,0:00:00,06/01/2021
IRIS [S],0.275,-0.015,-5.17,"404,652",0.29,0.27,0:00:00,06/01/2021
TAWIN [S],0.155,0.005,3.33,"402,522",0.155,0.145,0:00:00,06/01/2021
UCREST [S],0.37,0.01,2.78,"381,070",0.385,0.365,0:00:00,06/01/2021
HIBISCS [S],0.695,-0.01,-1.42,"376,312",0.705,0.68,0:00:00,06/01/2021
NWP [S],0.195,0.005,2.63,"359,150",0.2,0.19,0:00:00,06/01/2021
PASUKGB [S],0.28,0.05,21.74,"348,777",0.29,0.235,0:00:00,06/01/2021
PLABS,0.27,0.015,5.88,"318,105",0.285,0.255,0:00:00,06/01/2021
SANICHI [S],0.075,0,0,"310,782",0.08,0.07,0:00:00,06/01/2021
MERIDIAN [S],0.16,0.01,6.67,"291,337",0.165,0.145,0:00:00,06/01/2021
IJM [S],1.95,0.05,2.63,"284,661",2.06,1.93,0:00:00,06/01/2021
CENSOF [S],0.455,0.035,8.33,"279,957",0.46,0.415,0:00:00,06/01/2021
MTOUCHE-WD,0.02,0,0,"278,493",0.025,0.015,0:00:00,06/01/2021
TOPGLOV [S],4.8,-0.04,-0.83,"275,196",4.95,4.77,0:00:00,06/01/2021
AGES [S],0.115,-0.005,-4.17,"270,479",0.125,0.115,0:00:00,06/01/2021
MMCCORP [S],1.81,0.01,0.56,"269,952",1.83,1.8,0:00:00,06/01/2021
HSI-HGN,0.165,0.005,3.12,"265,595",0.17,0.13,0:00:00,06/01/2021
HHHCORP [S],0.17,0.01,6.25,"263,239",0.175,0.155,0:00:00,06/01/2021
DATAPRP [S],1.39,0.04,2.96,"262,882",1.45,1.32,0:00:00,06/01/2021
DNEX-WD [S],0.305,0.015,5.17,"256,739",0.31,0.29,0:00:00,06/01/2021
SERBADK-WA [S],0.1,0.005,5.26,"255,226",0.1,0.09,0:00:00,06/01/2021
KARYON [S],0.275,0.02,7.84,"248,254",0.28,0.25,0:00:00,06/01/2021
MMAG [S],0.2,0,0,"237,695",0.215,0.195,0:00:00,06/01/2021
FITTERS [S],0.32,-0.015,-4.48,"237,083",0.345,0.315,0:00:00,06/01/2021
LKL [S],0.305,-0.015,-4.69,"232,880",0.325,0.305,0:00:00,06/01/2021
IJMPLNT,3.06,0.6,24.39,"230,585",3.06,2.97,0:00:00,06/01/2021
KOBAY,2.37,0.54,29.51,"229,200",2.37,1.7,0:00:00,06/01/2021
SOLID,0.275,0.01,3.77,"224,801",0.285,0.265,0:00:00,06/01/2021
CAREPLS,1.73,-0.13,-6.99,"224,206",1.89,1.72,0:00:00,06/01/2021
MCT,0.26,0.005,1.96,"223,538",0.27,0.255,0:00:00,06/01/2021
LUSTER,0.21,-0.01,-4.55,"219,402",0.225,0.21,0:00:00,06/01/2021
JETSON,0.475,-0.01,-2.06,"214,505",0.5,0.455,0:00:00,06/01/2021
MINDA,0.14,0.01,7.69,"210,447",0.14,0.13,0:00:00,06/01/2021
ARMADA,0.47,-0.005,-1.05,"205,791",0.475,0.46,0:00:00,06/01/2021